,Type,Year,Age_group,Gender,Total
1164,Fall in Social Reputation,2009,30-44,Female,161
1241,Family Problems,2005,0-14,Male,161
929,Drug Abuse/Addiction,2009,60+,Male,160
34,Bankruptcy or Sudden change in Economic,2005,30-44,Female,160
1051,Failure in Examination,2010,0-14,Male,159
1030,Failure in Examination,2008,0-14,Female,159
357,Cancer,2012,45-59,Male,158
2606,Poverty,2009,45-59,Female,158
1050,Failure in Examination,2010,0-14,Female,158
1607,Illness (Aids/STD),2005,45-59,Male,157
2576,Poverty,2006,45-59,Female,156
507,Death of Dear Person,2003,45-59,Male,155
562,Death of Dear Person,2009,15-29,Female,155
1093,Fall in Social Reputation,2002,15-29,Male,155
2687,Professional/Career Problem,2005,45-59,Male,154
1031,Failure in Examination,2008,0-14,Male,154
524,Death of Dear Person,2005,30-44,Female,154
2632,Poverty,2012,15-29,Female,154
1665,Illness (Aids/STD),2011,30-44,Male,154
2367,Paralysis,2009,45-59,Male,154
74,Bankruptcy or Sudden change in Economic,2009,30-44,Female,153
2764,Property Dispute,2001,30-44,Female,153
1084,Fall in Social Reputation,2001,30-44,Female,153
2804,Property Dispute,2005,30-44,Female,152
585,Death of Dear Person,2011,30-44,Male,152
573,Death of Dear Person,2010,15-29,Male,152
1655,Illness (Aids/STD),2010,30-44,Male,152
1144,Fall in Social Reputation,2007,30-44,Female,152
1103,Fall in Social Reputation,2003,15-29,Male,152
185,Cancellation/Non-Settlement of Marriage,2007,30-44,Male,151
265,Cancer,2003,30-44,Male,151
2422,Physical Abuse (Rape/Incest Etc.),2003,15-29,Female,150
981,Failure in Examination,2003,0-14,Male,150
1675,Illness (Aids/STD),2012,30-44,Male,150
335,Cancer,2010,30-44,Male,150
145,Cancellation/Non-Settlement of Marriage,2003,30-44,Male,149
114,Bankruptcy or Sudden change in Economic Status,2002,30-44,Female,149
2529,Poverty,2001,60+,Male,149
1512,Illegitimate Pregnancy,2008,15-29,Female,147
2549,Poverty,2003,60+,Male,147
2377,Paralysis,2010,45-59,Male,147
195,Cancellation/Non-Settlement of Marriage,2008,30-44,Male,146
3042,Unemployment,2005,15-29,Female,146
1041,Failure in Examination,2009,0-14,Male,146
1097,Fall in Social Reputation,2002,45-59,Male,146
2579,Poverty,2006,60+,Male,145
1261,Family Problems,2007,0-14,Male,145
485,Death of Dear Person,2001,30-44,Male,145
1677,Illness (Aids/STD),2012,45-59,Male,145
1301,Family Problems,2011,0-14,Male,145
595,Death of Dear Person,2012,30-44,Male,145
542,Death of Dear Person,2007,15-29,Female,145
1040,Failure in Examination,2009,0-14,Female,145
2170,Other Prolonged Illness,2002,0-14,Female,144
592,Death of Dear Person,2012,15-29,Female,144
235,Cancellation/Non-Settlement of Marriage,2012,30-44,Male,144
1583,Illness (Aids/STD),2003,15-29,Male,144
299,Cancer,2006,60+,Male,144
2337,Paralysis,2006,45-59,Male,143
2289,Paralysis,2001,60+,Male,143
14,Bankruptcy or Sudden change in Economic,2003,30-44,Female,143
3082,Unemployment,2009,15-29,Female,142
1623,Illness (Aids/STD),2007,15-29,Male,142
3004,Unemployment,2001,30-44,Female,142
2792,Property Dispute,2004,15-29,Female,142
2325,Paralysis,2005,30-44,Male,142
2784,Property Dispute,2003,30-44,Female,142
584,Death of Dear Person,2011,30-44,Female,142
1311,Family Problems,2012,0-14,Male,141
1985,Not having Children(Barrenness/Impotency,2007,30-44,Male,141
1107,Fall in Social Reputation,2003,45-59,Male,141
24,Bankruptcy or Sudden change in Economic,2004,30-44,Female,141
3092,Unemployment,2010,15-29,Female,141
3024,Unemployment,2003,30-44,Female,140
2859,Property Dispute,2010,60+,Male,140
2412,Physical Abuse (Rape/Incest Etc.),2002,15-29,Female,140
2586,Poverty,2007,45-59,Female,139
1562,Illness (Aids/STD),2001,15-29,Female,139
557,Death of Dear Person,2008,45-59,Male,139
6,Bankruptcy or Sudden change in Economic,2001,45-59,Female,139
909,Drug Abuse/Addiction,2007,60+,Male,139
515,Death of Dear Person,2004,30-44,Male,138
1147,Fall in Social Reputation,2007,45-59,Male,138
1102,Fall in Social Reputation,2003,15-29,Female,138
1134,Fall in Social Reputation,2006,30-44,Female,138
495,Death of Dear Person,2002,30-44,Male,137
1271,Family Problems,2008,0-14,Male,137
2299,Paralysis,2002,60+,Male,137
2482,Physical Abuse (Rape/Incest Etc.),2009,15-29,Female,137
577,Death of Dear Person,2010,45-59,Male,136
134,Cancellation/Non-Settlement of Marriage,2002,30-44,Female,136
1565,Illness (Aids/STD),2001,30-44,Male,136
1901,Love Affairs,2011,0-14,Male,136
325,Cancer,2009,30-44,Male,136
1192,Fall in Social Reputation,2012,15-29,Female,136
995,Failure in Examination,2004,30-44,Male,136
484,Death of Dear Person,2001,30-44,Female,136
3012,Unemployment,2002,15-29,Female,136
279,Cancer,2004,60+,Male,136
504,Death of Dear Person,2003,30-44,Female,135
1613,Illness (Aids/STD),2006,15-29,Male,135
1567,Illness (Aids/STD),2001,45-59,Male,135
537,Death of Dear Person,2006,45-59,Male,135
165,Cancellation/Non-Settlement of Marriage,2005,30-44,Male,134
3044,Unemployment,2005,30-44,Female,134
2769,Property Dispute,2001,60+,Male,134
2357,Paralysis,2008,45-59,Male,134
259,Cancer,2002,60+,Male,133
1603,Illness (Aids/STD),2005,15-29,Male,133
2297,Paralysis,2002,45-59,Male,133
1183,Fall in Social Reputation,2011,15-29,Male,133
583,Death of Dear Person,2011,15-29,Male,133
2539,Poverty,2002,60+,Male,133
2546,Poverty,2003,45-59,Female,133
612,Divorce,2002,15-29,Female,132
545,Death of Dear Person,2007,30-44,Male,132
84,Bankruptcy or Sudden change in Economic,2010,30-44,Female,132
2025,Not having Children(Barrenness/Impotency,2011,30-44,Male,132
2397,Paralysis,2012,45-59,Male,132
2359,Paralysis,2008,60+,Male,130
1624,Illness (Aids/STD),2007,30-44,Female,130
319,Cancer,2008,60+,Male,130
2452,Physical Abuse (Rape/Incest Etc.),2006,15-29,Female,130
94,Bankruptcy or Sudden change in Economic,2011,30-44,Female,130
295,Cancer,2006,30-44,Male,129
1593,Illness (Aids/STD),2004,15-29,Male,129
632,Divorce,2004,15-29,Female,129
1251,Family Problems,2006,0-14,Male,129
1643,Illness (Aids/STD),2009,15-29,Male,129
1542,Illegitimate Pregnancy,2011,15-29,Female,129
553,Death of Dear Person,2008,15-29,Male,128
492,Death of Dear Person,2002,15-29,Female,128
1612,Illness (Aids/STD),2006,15-29,Female,128
2492,Physical Abuse (Rape/Incest Etc.),2010,15-29,Female,127
289,Cancer,2005,60+,Male,127
513,Death of Dear Person,2004,15-29,Male,127
3112,Unemployment,2012,15-29,Female,126
305,Cancer,2007,30-44,Male,126
72,Bankruptcy or Sudden change in Economic,2009,15-29,Female,126
285,Cancer,2005,30-44,Male,126
574,Death of Dear Person,2010,30-44,Female,126
2566,Poverty,2005,45-59,Female,126
2160,Other Prolonged Illness,2001,0-14,Female,126
1627,Illness (Aids/STD),2007,45-59,Male,125
1582,Illness (Aids/STD),2003,15-29,Female,125
2796,Property Dispute,2004,45-59,Female,125
315,Cancer,2008,30-44,Male,125
214,Cancellation/Non-Settlement of Marriage,2010,30-44,Female,125
2874,Property Dispute,2012,30-44,Female,124
184,Cancellation/Non-Settlement of Marriage,2007,30-44,Female,124
536,Death of Dear Person,2006,45-59,Female,124
587,Death of Dear Person,2011,45-59,Male,124
2834,Property Dispute,2008,30-44,Female,124
2387,Paralysis,2011,45-59,Male,124
144,Cancellation/Non-Settlement of Marriage,2003,30-44,Female,124
164,Cancellation/Non-Settlement of Marriage,2005,30-44,Female,123
594,Death of Dear Person,2012,30-44,Female,123
267,Cancer,2003,45-59,Male,122
1071,Failure in Examination,2012,0-14,Male,122
532,Death of Dear Person,2006,15-29,Female,122
1060,Failure in Examination,2011,0-14,Female,122
672,Divorce,2008,15-29,Female,121
534,Death of Dear Person,2006,30-44,Female,121
2862,Property Dispute,2011,15-29,Female,121
32,Bankruptcy or Sudden change in Economic,2005,15-29,Female,121
869,Drug Abuse/Addiction,2003,60+,Male,121
1472,Illegitimate Pregnancy,2004,15-29,Female,121
2629,Poverty,2011,60+,Male,121
1604,Illness (Aids/STD),2005,30-44,Female,120
2824,Property Dispute,2007,30-44,Female,120
2536,Poverty,2002,45-59,Female,120
3072,Unemployment,2008,15-29,Female,120
527,Death of Dear Person,2005,45-59,Male,120
339,Cancer,2010,60+,Male,120
224,Cancellation/Non-Settlement of Marriage,2011,30-44,Female,120
2365,Paralysis,2009,30-44,Male,120
2190,Other Prolonged Illness,2004,0-14,Female,120
125,Cancellation/Non-Settlement of Marriage,2001,30-44,Male,119
2626,Poverty,2011,45-59,Female,119
563,Death of Dear Person,2009,15-29,Male,119
1154,Fall in Social Reputation,2008,30-44,Female,119
1092,Fall in Social Reputation,2002,15-29,Female,119
256,Cancer,2002,45-59,Female,119
2799,Property Dispute,2004,60+,Male,118
2347,Paralysis,2007,45-59,Male,118
2317,Paralysis,2004,45-59,Male,117
2636,Poverty,2012,45-59,Female,117
135,Cancellation/Non-Settlement of Marriage,2002,30-44,Male,117
2987,Suspected/Illicit Relation,2011,45-59,Male,117
2210,Other Prolonged Illness,2006,0-14,Female,117
1482,Illegitimate Pregnancy,2005,15-29,Female,116
899,Drug Abuse/Addiction,2006,60+,Male,116
554,Death of Dear Person,2008,30-44,Female,116
3052,Unemployment,2006,15-29,Female,116
64,Bankruptcy or Sudden change in Economic,2008,30-44,Female,116
730,Dowry Dispute,2002,0-14,Female,116
2462,Physical Abuse (Rape/Incest Etc.),2007,15-29,Female,115
544,Death of Dear Person,2007,30-44,Female,115
2856,Property Dispute,2010,45-59,Female,115
2616,Poverty,2010,45-59,Female,115
2502,Physical Abuse (Rape/Incest Etc.),2011,15-29,Female,114
512,Death of Dear Person,2004,15-29,Female,114
42,Bankruptcy or Sudden change in Economic,2006,15-29,Female,114
54,Bankruptcy or Sudden change in Economic,2007,30-44,Female,114
194,Cancellation/Non-Settlement of Marriage,2008,30-44,Female,114
1965,Not having Children(Barrenness/Impotency,2005,30-44,Male,114
2220,Other Prolonged Illness,2007,0-14,Female,113
175,Cancellation/Non-Settlement of Marriage,2006,30-44,Male,113
3084,Unemployment,2009,30-44,Female,112
2379,Paralysis,2010,60+,Male,112
1945,Not having Children(Barrenness/Impotency,2003,30-44,Male,112
705,Divorce,2011,30-44,Male,112
2,Bankruptcy or Sudden change in Economic,2001,15-29,Female,112
2432,Physical Abuse (Rape/Incest Etc.),2004,15-29,Female,112
1614,Illness (Aids/STD),2006,30-44,Female,112
2832,Property Dispute,2008,15-29,Female,112
644,Divorce,2005,30-44,Female,111
204,Cancellation/Non-Settlement of Marriage,2009,30-44,Female,111
124,Cancellation/Non-Settlement of Marriage,2001,30-44,Female,111
174,Cancellation/Non-Settlement of Marriage,2006,30-44,Female,110
624,Divorce,2003,30-44,Female,110
2806,Property Dispute,2005,45-59,Female,110
704,Divorce,2011,30-44,Female,110
2180,Other Prolonged Illness,2003,0-14,Female,110
2385,Paralysis,2011,30-44,Male,109
2285,Paralysis,2001,30-44,Male,109
2399,Paralysis,2012,60+,Male,109
2295,Paralysis,2002,30-44,Male,109
493,Death of Dear Person,2002,15-29,Male,109
487,Death of Dear Person,2001,45-59,Male,109
249,Cancer,2001,60+,Male,108
674,Divorce,2008,30-44,Female,108
276,Cancer,2004,45-59,Female,108
2161,Other Prolonged Illness,2001,0-14,Male,108
2812,Property Dispute,2006,15-29,Female,108
2652,Professional/Career Problem,2002,15-29,Female,108
2762,Property Dispute,2001,15-29,Female,108
1117,Fall in Social Reputation,2004,45-59,Male,108
345,Cancer,2011,30-44,Male,107
2389,Paralysis,2011,60+,Male,107
2005,Not having Children(Barrenness/Impotency,2009,30-44,Male,107
349,Cancer,2011,60+,Male,107
3104,Unemployment,2011,30-44,Female,107
1502,Illegitimate Pregnancy,2007,15-29,Female,107
483,Death of Dear Person,2001,15-29,Male,107
2774,Property Dispute,2002,30-44,Female,106
1395,Ideological Causes/Hero Worshipping,2008,30-44,Male,106
2822,Property Dispute,2007,15-29,Female,106
2395,Paralysis,2012,30-44,Male,106
517,Death of Dear Person,2004,45-59,Male,106
564,Death of Dear Person,2009,30-44,Female,106
2512,Physical Abuse (Rape/Incest Etc.),2012,15-29,Female,106
1647,Illness (Aids/STD),2009,45-59,Male,106
523,Death of Dear Person,2005,15-29,Male,106
652,Divorce,2006,15-29,Female,106
355,Cancer,2012,30-44,Male,105
1634,Illness (Aids/STD),2008,30-44,Female,105
2786,Property Dispute,2003,45-59,Female,105
1532,Illegitimate Pregnancy,2010,15-29,Female,105
602,Divorce,2001,15-29,Female,105
2639,Poverty,2012,60+,Male,105
1094,Fall in Social Reputation,2002,30-44,Female,105
614,Divorce,2002,30-44,Female,104
2349,Paralysis,2007,60+,Male,104
2319,Paralysis,2004,60+,Male,104
2866,Property Dispute,2011,45-59,Female,104
1070,Failure in Examination,2012,0-14,Female,104
533,Death of Dear Person,2006,15-29,Male,104
889,Drug Abuse/Addiction,2005,60+,Male,104
316,Cancer,2008,45-59,Female,104
1574,Illness (Aids/STD),2002,30-44,Female,104
3094,Unemployment,2010,30-44,Female,103
2375,Paralysis,2010,30-44,Male,103
1573,Illness (Aids/STD),2002,15-29,Male,103
155,Cancellation/Non-Settlement of Marriage,2004,30-44,Male,103
2355,Paralysis,2008,30-44,Male,102
1653,Illness (Aids/STD),2010,15-29,Male,102
2307,Paralysis,2003,45-59,Male,102
2335,Paralysis,2006,30-44,Male,102
2286,Paralysis,2001,45-59,Female,101
254,Cancer,2002,30-44,Female,101
2782,Property Dispute,2003,15-29,Female,100
634,Divorce,2004,30-44,Female,99
1104,Fall in Social Reputation,2003,30-44,Female,99
597,Death of Dear Person,2012,45-59,Male,99
1890,Love Affairs,2010,0-14,Female,98
2907,Suspected/Illicit Relation,2003,45-59,Male,98
246,Cancer,2001,45-59,Female,98
234,Cancellation/Non-Settlement of Marriage,2012,30-44,Female,98
1194,Fall in Social Reputation,2012,30-44,Female,97
2789,Property Dispute,2003,60+,Male,97
22,Bankruptcy or Sudden change in Economic,2004,15-29,Female,97
1136,Fall in Social Reputation,2006,45-59,Female,97
593,Death of Dear Person,2012,15-29,Male,97
104,Bankruptcy or Sudden change in Economic,2012,30-44,Female,97
1564,Illness (Aids/STD),2001,30-44,Female,97
336,Cancer,2010,45-59,Female,97
1925,Not having Children (Barrenness/Impotency,2002,30-44,Male,97
3014,Unemployment,2002,30-44,Female,97
1657,Illness (Aids/STD),2010,45-59,Male,97
2200,Other Prolonged Illness,2005,0-14,Female,96
826,Dowry Dispute,2011,45-59,Female,96
359,Cancer,2012,60+,Male,96
112,Bankruptcy or Sudden change in Economic Status,2002,15-29,Female,95
522,Death of Dear Person,2005,15-29,Female,95
2181,Other Prolonged Illness,2003,0-14,Male,95
664,Divorce,2007,30-44,Female,95
879,Drug Abuse/Addiction,2004,60+,Male,95
655,Divorce,2006,30-44,Male,95
1577,Illness (Aids/STD),2002,45-59,Male,95
1629,Illness (Aids/STD),2007,60+,Male,95
36,Bankruptcy or Sudden change in Economic,2005,45-59,Female,95
1955,Not having Children(Barrenness/Impotency,2004,30-44,Male,95
1112,Fall in Social Reputation,2004,15-29,Female,94
1639,Illness (Aids/STD),2008,60+,Male,94
1622,Illness (Aids/STD),2007,15-29,Female,94
326,Cancer,2009,45-59,Female,94
547,Death of Dear Person,2007,45-59,Male,94
514,Death of Dear Person,2004,30-44,Female,94
2230,Other Prolonged Illness,2008,0-14,Female,94
2442,Physical Abuse (Rape/Incest Etc.),2005,15-29,Female,94
1946,Not having Children(Barrenness/Impotency,2003,45-59,Female,94
1587,Illness (Aids/STD),2003,45-59,Male,94
567,Death of Dear Person,2009,45-59,Male,94
306,Cancer,2007,45-59,Female,93
2897,Suspected/Illicit Relation,2002,45-59,Male,93
642,Divorce,2005,15-29,Female,93
543,Death of Dear Person,2007,15-29,Male,93
1936,Not having Children(Barrenness/Impotency,2001,45-59,Female,93
12,Bankruptcy or Sudden change in Economic,2003,15-29,Female,93
1592,Illness (Aids/STD),2004,15-29,Female,93
52,Bankruptcy or Sudden change in Economic,2007,15-29,Female,92
1880,Love Affairs,2009,0-14,Female,92
2035,Not having Children(Barrenness/Impotency,2012,30-44,Male,92
2425,Physical Abuse (Rape/Incest Etc.),2003,30-44,Male,92
985,Failure in Examination,2003,30-44,Male,91
1966,Not having Children(Barrenness/Impotency,2005,45-59,Female,91
497,Death of Dear Person,2002,45-59,Male,91
1522,Illegitimate Pregnancy,2009,15-29,Female,91
2809,Property Dispute,2005,60+,Male,91
2826,Property Dispute,2007,45-59,Female,90
264,Cancer,2003,30-44,Female,90
26,Bankruptcy or Sudden change in Economic,2004,45-59,Female,90
286,Cancer,2005,45-59,Female,90
2339,Paralysis,2006,60+,Male,89
2844,Property Dispute,2009,30-44,Female,89
334,Cancer,2010,30-44,Female,89
675,Divorce,2008,30-44,Male,89
1572,Illness (Aids/STD),2002,15-29,Female,89
1975,Not having Children(Barrenness/Impotency,2006,30-44,Male,88
654,Divorce,2006,30-44,Female,88
494,Death of Dear Person,2002,30-44,Female,88
662,Divorce,2007,15-29,Female,88
46,Bankruptcy or Sudden change in Economic,2006,45-59,Female,87
2191,Other Prolonged Illness,2004,0-14,Male,87
1770,Insanity/Mental Illness,2010,0-14,Female,86
702,Divorce,2011,15-29,Female,86
346,Cancer,2011,45-59,Female,86
2309,Paralysis,2003,60+,Male,86
154,Cancellation/Non-Settlement of Marriage,2004,30-44,Female,86
82,Bankruptcy or Sudden change in Economic,2010,15-29,Female,86
1935,Not having Children(Barrenness/Impotency,2001,30-44,Male,86
2305,Paralysis,2003,30-44,Male,85
92,Bankruptcy or Sudden change in Economic,2011,15-29,Female,85
2251,Other Prolonged Illness,2010,0-14,Male,84
1584,Illness (Aids/STD),2003,30-44,Female,84
56,Bankruptcy or Sudden change in Economic,2007,45-59,Female,84
599,Death of Dear Person,2012,60+,Male,83
2296,Paralysis,2002,45-59,Female,83
3114,Unemployment,2012,30-44,Female,83
1771,Insanity/Mental Illness,2010,0-14,Male,83
3054,Unemployment,2006,30-44,Female,83
1444,Illegitimate Pregnancy,2001,30-44,Female,83
2353,Paralysis,2008,15-29,Male,82
1089,Fall in Social Reputation,2001,60+,Male,82
288,Cancer,2005,60+,Female,82
1910,Love Affairs,2012,0-14,Female,82
622,Divorce,2003,15-29,Female,82
1617,Illness (Aids/STD),2006,45-59,Male,82
2772,Property Dispute,2002,15-29,Female,82
2766,Property Dispute,2001,45-59,Female,82
2947,Suspected/Illicit Relation,2007,45-59,Male,81
2927,Suspected/Illicit Relation,2005,45-59,Male,81
684,Divorce,2009,30-44,Female,81
294,Cancer,2006,30-44,Female,81
2240,Other Prolonged Illness,2009,0-14,Female,81
1375,Ideological Causes/Hero Worshipping,2006,30-44,Male,81
3064,Unemployment,2007,30-44,Female,81
66,Bankruptcy or Sudden change in Economic,2008,45-59,Female,80
2260,Other Prolonged Illness,2011,0-14,Female,80
1594,Illness (Aids/STD),2004,30-44,Female,80
2211,Other Prolonged Illness,2006,0-14,Male,80
2454,Physical Abuse (Rape/Incest Etc.),2006,30-44,Female,80
266,Cancer,2003,45-59,Female,80
2849,Property Dispute,2009,60+,Male,80
116,Bankruptcy or Sudden change in Economic Status,2002,45-59,Female,80
2261,Other Prolonged Illness,2011,0-14,Male,79
1900,Love Affairs,2011,0-14,Female,79
1005,Failure in Examination,2005,30-44,Male,79
2872,Property Dispute,2012,15-29,Female,79
1454,Illegitimate Pregnancy,2002,30-44,Female,79
304,Cancer,2007,30-44,Female,79
2015,Not having Children(Barrenness/Impotency,2010,30-44,Male,79
1166,Fall in Social Reputation,2009,45-59,Female,79
1626,Illness (Aids/STD),2007,45-59,Female,79
2839,Property Dispute,2008,60+,Male,79
2879,Property Dispute,2012,60+,Male,78
2829,Property Dispute,2007,60+,Male,78
2270,Other Prolonged Illness,2012,0-14,Female,78
269,Cancer,2003,60+,Male,78
296,Cancer,2006,45-59,Female,78
2345,Paralysis,2007,30-44,Male,78
2558,Poverty,2004,60+,Female,77
692,Divorce,2010,15-29,Female,77
2171,Other Prolonged Illness,2002,0-14,Male,77
16,Bankruptcy or Sudden change in Economic,2003,45-59,Female,77
1392,Ideological Causes/Hero Worshipping,2008,15-29,Female,77
62,Bankruptcy or Sudden change in Economic,2008,15-29,Female,76
2413,Physical Abuse (Rape/Incest Etc.),2002,15-29,Male,76
2957,Suspected/Illicit Relation,2008,45-59,Male,76
1407,Ideological Causes/Hero Worshipping,2009,45-59,Male,76
1870,Love Affairs,2008,0-14,Female,75
1385,Ideological Causes/Hero Worshipping,2007,30-44,Male,75
1860,Love Affairs,2007,0-14,Female,75
694,Divorce,2010,30-44,Female,75
1597,Illness (Aids/STD),2004,45-59,Male,75
2654,Professional/Career Problem,2002,30-44,Female,75
596,Death of Dear Person,2012,45-59,Female,75
665,Divorce,2007,30-44,Male,75
2836,Property Dispute,2008,45-59,Female,75
2887,Suspected/Illicit Relation,2001,45-59,Male,75
2819,Property Dispute,2006,60+,Male,74
76,Bankruptcy or Sudden change in Economic,2009,45-59,Female,74
859,Drug Abuse/Addiction,2002,60+,Male,74
1045,Failure in Examination,2009,30-44,Male,74
489,Death of Dear Person,2001,60+,Male,74
2997,Suspected/Illicit Relation,2012,45-59,Male,74
2504,Physical Abuse (Rape/Incest Etc.),2011,30-44,Female,74
2424,Physical Abuse (Rape/Incest Etc.),2003,30-44,Female,74
712,Divorce,2012,15-29,Female,72
2414,Physical Abuse (Rape/Incest Etc.),2002,30-44,Female,72
571,Death of Dear Person,2010,0-14,Male,72
2221,Other Prolonged Illness,2007,0-14,Male,72
1186,Fall in Social Reputation,2011,45-59,Female,72
825,Dowry Dispute,2011,30-44,Male,72
244,Cancer,2001,30-44,Female,72
1609,Illness (Aids/STD),2005,60+,Male,72
324,Cancer,2009,30-44,Female,71
1800,Love Affairs,2001,0-14,Female,71
2434,Physical Abuse (Rape/Incest Etc.),2004,30-44,Female,71
2474,Physical Abuse (Rape/Incest Etc.),2008,30-44,Female,71
1345,Ideological Causes/Hero Worshipping,2003,30-44,Male,71
1636,Illness (Aids/STD),2008,45-59,Female,70
314,Cancer,2008,30-44,Female,70
2241,Other Prolonged Illness,2009,0-14,Male,70
1644,Illness (Aids/STD),2009,30-44,Female,70
274,Cancer,2004,30-44,Female,70
2326,Paralysis,2005,45-59,Female,70
2876,Property Dispute,2012,45-59,Female,70
1552,Illegitimate Pregnancy,2012,15-29,Female,70
2548,Poverty,2003,60+,Female,70
102,Bankruptcy or Sudden change in Economic,2012,15-29,Female,69
1730,Insanity/Mental Illness,2006,0-14,Female,69
2802,Property Dispute,2005,15-29,Female,69
579,Death of Dear Person,2010,60+,Male,69
714,Divorce,2012,30-44,Female,69
2363,Paralysis,2009,15-29,Male,69
2842,Property Dispute,2009,15-29,Female,69
2404,Physical Abuse (Rape/Incest Etc.),2001,30-44,Female,69
2776,Property Dispute,2002,45-59,Female,69
486,Death of Dear Person,2001,45-59,Female,69
1494,Illegitimate Pregnancy,2006,30-44,Female,68
2719,Professional/Career Problem,2008,60+,Male,68
2315,Paralysis,2004,30-44,Male,68
526,Death of Dear Person,2005,45-59,Female,68
975,Failure in Examination,2002,30-44,Male,68
1114,Fall in Social Reputation,2004,30-44,Female,68
86,Bankruptcy or Sudden change in Economic,2010,45-59,Female,67
2201,Other Prolonged Illness,2005,0-14,Male,67
2368,Paralysis,2009,60+,Female,67
96,Bankruptcy or Sudden change in Economic,2011,45-59,Female,67
2967,Suspected/Illicit Relation,2009,45-59,Male,66
1986,Not having Children(Barrenness/Impotency,2007,45-59,Female,66
1711,Insanity/Mental Illness,2004,0-14,Male,66
604,Divorce,2001,30-44,Female,66
2779,Property Dispute,2002,60+,Male,65
1129,Fall in Social Reputation,2005,60+,Male,65
2423,Physical Abuse (Rape/Incest Etc.),2003,15-29,Male,65
1761,Insanity/Mental Illness,2009,0-14,Male,65
2869,Property Dispute,2011,60+,Male,65
3006,Unemployment,2001,45-59,Female,64
519,Death of Dear Person,2004,60+,Male,64
569,Death of Dear Person,2009,60+,Male,64
2977,Suspected/Illicit Relation,2010,45-59,Male,64
849,Drug Abuse/Addiction,2001,60+,Male,64
1926,Not having Children (Barrenness/Impotency,2002,45-59,Female,64
703,Divorce,2011,15-29,Male,64
2293,Paralysis,2002,15-29,Male,63
2023,Not having Children(Barrenness/Impotency,2011,15-29,Male,63
576,Death of Dear Person,2010,45-59,Female,63
685,Divorce,2009,30-44,Male,63
625,Divorce,2003,30-44,Male,63
2323,Paralysis,2005,15-29,Male,63
1654,Illness (Aids/STD),2010,30-44,Female,63
2608,Poverty,2009,60+,Female,63
2283,Paralysis,2001,15-29,Male,63
1126,Fall in Social Reputation,2005,45-59,Female,63
3074,Unemployment,2008,30-44,Female,63
2415,Physical Abuse (Rape/Incest Etc.),2002,30-44,Male,63
2494,Physical Abuse (Rape/Incest Etc.),2010,30-44,Female,62
1750,Insanity/Mental Illness,2008,0-14,Female,62
836,Dowry Dispute,2012,45-59,Female,62
1514,Illegitimate Pregnancy,2008,30-44,Female,62
1464,Illegitimate Pregnancy,2003,30-44,Female,62
106,Bankruptcy or Sudden change in Economic,2012,45-59,Female,62
2007,Not having Children(Barrenness/Impotency,2009,45-59,Male,62
1055,Failure in Examination,2010,30-44,Male,62
586,Death of Dear Person,2011,45-59,Female,62
3026,Unemployment,2003,45-59,Female,62
635,Divorce,2004,30-44,Male,62
1159,Fall in Social Reputation,2008,60+,Male,61
2729,Professional/Career Problem,2009,60+,Male,61
2937,Suspected/Illicit Relation,2006,45-59,Male,61
1667,Illness (Aids/STD),2011,45-59,Male,61
1474,Illegitimate Pregnancy,2004,30-44,Female,61
3036,Unemployment,2004,45-59,Female,61
2724,Professional/Career Problem,2009,30-44,Female,61
1827,Love Affairs,2003,45-59,Male,61
323,Cancer,2009,15-29,Male,61
2376,Paralysis,2010,45-59,Female,60
1382,Ideological Causes/Hero Worshipping,2007,15-29,Female,60
1927,Not having Children (Barrenness/Impotency,2002,45-59,Male,60
682,Divorce,2009,15-29,Female,60
2694,Professional/Career Problem,2006,30-44,Female,60
1393,Ideological Causes/Hero Worshipping,2008,15-29,Male,60
1642,Illness (Aids/STD),2009,15-29,Female,60
2578,Poverty,2006,60+,Female,60
1139,Fall in Social Reputation,2006,60+,Male,59
546,Death of Dear Person,2007,45-59,Female,59
556,Death of Dear Person,2008,45-59,Female,59
529,Death of Dear Person,2005,60+,Male,59
1840,Love Affairs,2005,0-14,Female,59
506,Death of Dear Person,2003,45-59,Female,59
496,Death of Dear Person,2002,45-59,Female,59
2271,Other Prolonged Illness,2012,0-14,Male,59
1740,Insanity/Mental Illness,2007,0-14,Female,59
965,Failure in Examination,2001,30-44,Male,59
1906,Love Affairs,2011,45-59,Female,59
1649,Illness (Aids/STD),2009,60+,Male,59
2306,Paralysis,2003,45-59,Female,58
2662,Professional/Career Problem,2003,15-29,Female,58
1700,Insanity/Mental Illness,2003,0-14,Female,58
354,Cancer,2012,30-44,Female,58
2702,Professional/Career Problem,2007,15-29,Female,58
1830,Love Affairs,2004,0-14,Female,58
1372,Ideological Causes/Hero Worshipping,2006,15-29,Female,58
1820,Love Affairs,2003,0-14,Female,58
1343,Ideological Causes/Hero Worshipping,2003,15-29,Male,58
516,Death of Dear Person,2004,45-59,Female,58
1810,Love Affairs,2002,0-14,Female,58
1780,Insanity/Mental Illness,2011,0-14,Female,58
707,Divorce,2011,45-59,Male,58
1664,Illness (Aids/STD),2011,30-44,Female,58
1710,Insanity/Mental Illness,2004,0-14,Female,57
1633,Illness (Aids/STD),2008,15-29,Male,57
303,Cancer,2007,15-29,Male,57
2674,Professional/Career Problem,2004,30-44,Female,57
356,Cancer,2012,45-59,Female,57
